Frame,ImageName,Class
0,b (5).jpg,beetle
0,f (4).jpg,ant
0,m (2).jpg,fly
0,v (4).jpg,wasp
0,b (4).jpg,beetle
0,f (2).jpg,ant
0,m (2).jpg,fly
0,v (3).jpg,wasp
0,b (4).jpg,beetle
0,b (2).jpg,beetle
1,f (5).jpg,ant
1,m (2).jpg,fly
1,v (4).jpg,wasp
1,b (4).jpg,beetle
1,f (5).jpg,ant
1,m (3).jpg,fly
1,v (4).jpg,wasp
1,b (4).jpg,beetle
1,b (1).jpg,beetle
2,f (3).jpg,ant
2,m (2).jpg,fly
2,v (3).jpg,wasp
2,b (1).jpg,beetle
2,f (3).jpg,ant
2,m (3).jpg,fly
2,v (3).jpg,wasp
2,b (2).jpg,beetle
2,b (5).jpg,beetle
3,f (1).jpg,ant
3,m (2).jpg,fly
3,v (3).jpg,wasp
3,b (2).jpg,beetle
3,f (1).jpg,ant
3,m (3).jpg,fly
3,v (4).jpg,wasp
3,b (1).jpg,beetle
3,b (5).jpg,beetle
4,f (1).jpg,ant
4,m (2).jpg,fly
4,v (3).jpg,wasp
4,b (1).jpg,beetle
4,f (4).jpg,ant
4,m (2).jpg,fly
4,v (4).jpg,wasp
4,b (2).jpg,beetle
4,b (5).jpg,beetle
5,f (2).jpg,ant
5,m (3).jpg,fly
5,v (3).jpg,wasp
5,b (5).jpg,beetle
5,f (3).jpg,ant
5,m (2).jpg,fly
5,v (3).jpg,wasp
5,b (2).jpg,beetle
5,b (5).jpg,beetle
6,f (3).jpg,ant
6,m (3).jpg,fly
6,v (4).jpg,wasp
6,b (4).jpg,beetle
6,f (3).jpg,ant
6,m (2).jpg,fly
6,v (4).jpg,wasp
6,b (4).jpg,beetle
6,b (5).jpg,beetle
7,f (3).jpg,ant
7,m (3).jpg,fly
7,v (3).jpg,wasp
7,b (2).jpg,beetle
7,f (1).jpg,ant
7,m (2).jpg,fly
7,v (3).jpg,wasp
7,b (4).jpg,beetle
7,b (5).jpg,beetle
8,f (2).jpg,ant
8,m (3).jpg,fly
8,v (4).jpg,wasp
8,b (5).jpg,beetle
8,f (4).jpg,ant
8,m (3).jpg,fly
8,v (3).jpg,wasp
8,b (4).jpg,beetle
8,b (2).jpg,beetle
9,f (4).jpg,ant
9,m (3).jpg,fly
9,v (3).jpg,wasp
9,b (5).jpg,beetle
9,f (4).jpg,ant
9,m (3).jpg,fly
9,v (3).jpg,wasp
9,b (4).jpg,beetle
9,b (5).jpg,beetle
10,f (1).jpg,ant
10,m (3).jpg,fly
10,v (4).jpg,wasp
10,b (2).jpg,beetle
10,f (1).jpg,ant
10,m (2).jpg,fly
10,v (3).jpg,wasp
10,b (4).jpg,beetle
10,b (5).jpg,beetle
11,f (4).jpg,ant
11,m (2).jpg,fly
11,v (4).jpg,wasp
11,b (1).jpg,beetle
11,f (3).jpg,ant
11,m (3).jpg,fly
11,v (4).jpg,wasp
11,b (5).jpg,beetle
11,b (1).jpg,beetle
12,f (4).jpg,ant
12,m (2).jpg,fly
12,v (3).jpg,wasp
12,b (5).jpg,beetle
12,f (5).jpg,ant
12,m (3).jpg,fly
12,v (3).jpg,wasp
12,b (2).jpg,beetle
13,f (1).jpg,ant
13,m (2).jpg,fly
13,v (3).jpg,wasp
13,b (1).jpg,beetle
13,f (5).jpg,ant
13,m (2).jpg,fly
13,v (4).jpg,wasp
13,b (4).jpg,beetle
13,b (5).jpg,beetle
14,f (4).jpg,ant
14,m (3).jpg,fly
14,v (4).jpg,wasp
14,b (1).jpg,beetle
14,f (1).jpg,ant
14,m (2).jpg,fly
14,v (3).jpg,wasp
14,b (5).jpg,beetle
14,b (5).jpg,beetle
15,f (4).jpg,ant
15,m (3).jpg,fly
15,v (3).jpg,wasp
15,b (2).jpg,beetle
15,f (4).jpg,ant
15,m (3).jpg,fly
15,v (4).jpg,wasp
15,b (1).jpg,beetle
15,b (2).jpg,beetle
16,f (5).jpg,ant
16,m (2).jpg,fly
16,v (3).jpg,wasp
16,b (1).jpg,beetle
16,f (5).jpg,ant
16,m (2).jpg,fly
16,v (4).jpg,wasp
16,b (5).jpg,beetle
16,b (4).jpg,beetle
17,f (5).jpg,ant
17,m (2).jpg,fly
17,v (3).jpg,wasp
17,b (2).jpg,beetle
17,f (3).jpg,ant
17,m (3).jpg,fly
17,v (4).jpg,wasp
17,b (4).jpg,beetle
17,b (5).jpg,beetle
18,f (3).jpg,ant
18,m (2).jpg,fly
18,v (3).jpg,wasp
18,b (5).jpg,beetle
18,f (1).jpg,ant
18,m (3).jpg,fly
18,v (4).jpg,wasp
18,b (5).jpg,beetle
18,b (5).jpg,beetle
19,f (2).jpg,ant
19,m (2).jpg,fly
19,v (3).jpg,wasp
19,b (5).jpg,beetle
19,f (5).jpg,ant
19,m (2).jpg,fly
19,v (3).jpg,wasp
19,b (1).jpg,beetle
19,b (1).jpg,beetle
20,f (1).jpg,ant
20,m (3).jpg,fly
20,v (3).jpg,wasp
20,b (2).jpg,beetle
20,f (5).jpg,ant
20,m (2).jpg,fly
20,v (4).jpg,wasp
20,b (2).jpg,beetle
21,f (4).jpg,ant
21,m (2).jpg,fly
21,v (4).jpg,wasp
21,b (5).jpg,beetle
21,f (3).jpg,ant
21,m (2).jpg,fly
21,v (4).jpg,wasp
21,b (2).jpg,beetle
21,f (5).jpg,ant
0,m (2).jpg,fly
0,v (3).jpg,wasp
0,b (1).jpg,beetle
0,f (3).jpg,ant
0,m (2).jpg,fly
0,v (4).jpg,wasp
0,b (5).jpg,beetle
0,f (4).jpg,ant
0,f (2).jpg,ant
1,m (2).jpg,fly
1,v (4).jpg,wasp
1,b (2).jpg,beetle
1,f (3).jpg,ant
1,m (3).jpg,fly
1,v (4).jpg,wasp
1,b (5).jpg,beetle
1,f (4).jpg,ant
1,f (5).jpg,ant
2,m (2).jpg,fly
2,v (3).jpg,wasp
2,b (1).jpg,beetle
2,f (2).jpg,ant
2,m (3).jpg,fly
2,v (4).jpg,wasp
2,b (4).jpg,beetle
2,f (4).jpg,ant
2,f (3).jpg,ant
3,m (2).jpg,fly
3,v (3).jpg,wasp
3,b (2).jpg,beetle
3,f (1).jpg,ant
3,m (2).jpg,fly
3,v (3).jpg,wasp
3,b (5).jpg,beetle
3,f (5).jpg,ant
3,f (5).jpg,ant
4,m (2).jpg,fly
4,v (4).jpg,wasp
4,b (2).jpg,beetle
4,f (1).jpg,ant
4,m (3).jpg,fly
4,v (3).jpg,wasp
4,b (4).jpg,beetle
4,f (1).jpg,ant
4,f (5).jpg,ant
5,m (2).jpg,fly
5,v (3).jpg,wasp
5,b (2).jpg,beetle
5,f (4).jpg,ant
5,m (2).jpg,fly
5,v (3).jpg,wasp
5,b (4).jpg,beetle
5,f (4).jpg,ant
5,f (1).jpg,ant
6,m (2).jpg,fly
6,v (3).jpg,wasp
6,b (2).jpg,beetle
6,f (1).jpg,ant
6,m (3).jpg,fly
6,v (4).jpg,wasp
6,b (5).jpg,beetle
6,f (3).jpg,ant
6,f (5).jpg,ant
7,m (3).jpg,fly
7,v (3).jpg,wasp
7,b (1).jpg,beetle
7,f (3).jpg,ant
7,m (2).jpg,fly
7,v (3).jpg,wasp
7,b (2).jpg,beetle
7,f (5).jpg,ant
7,f (4).jpg,ant
8,m (3).jpg,fly
8,v (4).jpg,wasp
8,b (4).jpg,beetle
8,f (4).jpg,ant
8,m (2).jpg,fly
8,v (4).jpg,wasp
8,b (2).jpg,beetle
8,f (3).jpg,ant
8,f (1).jpg,ant
9,m (2).jpg,fly
9,v (3).jpg,wasp
9,b (1).jpg,beetle
9,f (1).jpg,ant
9,m (2).jpg,fly
9,v (4).jpg,wasp
9,b (2).jpg,beetle
9,f (3).jpg,ant
9,f (1).jpg,ant
10,m (3).jpg,fly
10,v (4).jpg,wasp
10,b (5).jpg,beetle
10,f (1).jpg,ant
10,m (3).jpg,fly
10,v (4).jpg,wasp
10,b (5).jpg,beetle
10,f (1).jpg,ant
10,f (4).jpg,ant
11,m (2).jpg,fly
11,v (3).jpg,wasp
11,b (4).jpg,beetle
11,f (2).jpg,ant
11,m (2).jpg,fly
11,v (4).jpg,wasp
11,b (2).jpg,beetle
11,f (4).jpg,ant
11,m (2).jpg,fly
0,v (4).jpg,wasp
0,b (5).jpg,beetle
0,f (5).jpg,ant
0,m (3).jpg,fly
0,v (4).jpg,wasp
0,b (1).jpg,beetle
0,f (1).jpg,ant
0,m (3).jpg,fly
0,m (3).jpg,fly
1,v (3).jpg,wasp
1,b (1).jpg,beetle
1,f (3).jpg,ant
1,m (3).jpg,fly
1,v (3).jpg,wasp
